"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Hero section should display the correct brand title","1073","Storefront_Hero_Displays_Correct_Title","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Hero_Displays_Correct_Title"
"GET /api/products should return 200 OK with a JSON array","21","GetAllProducts_Returns_200_With_Json_Array","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","GetAllProducts_Returns_200_With_Json_Array"
"GET /api/products/{id} for a non-existent ID should return 404 Not Found","5","GetProductById_Returns_404_For_NonExistent_Id","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","GetProductById_Returns_404_For_NonExistent_Id"
"GET /api/products/{id} for a valid product should return 200 OK with the product details","13","GetProductById_Returns_200_With_Correct_Product","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","GetProductById_Returns_200_With_Correct_Product"
"Empty cart page should display an empty state with a Continue Shopping link","1475","Empty_Cart_Shows_Empty_State_Message","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","CartTests","ECommerce.Playwright.Tests.UI.Cart","CartTests","Empty_Cart_Shows_Empty_State_Message"
"Invalid credentials should show an error message and stay on login page","1664","Admin_Login_Fails_With_Invalid_Password","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Login_Fails_With_Invalid_Password"
"Homepage should display exactly 4 category cards","993","Storefront_Displays_Four_Category_Cards","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Displays_Four_Category_Cards"
"DELETE /api/products/{id} should remove the product and return 204 No Content","291","DeleteProduct_Returns_NoContent_And_Product_No_Longer_Exists","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","DeleteProduct_Returns_NoContent_And_Product_No_Longer_Exists"
"Clicking the admin lock icon should redirect to the admin login page","2232","Admin_Icon_Click_Redirects_To_Login","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Admin_Icon_Click_Redirects_To_Login"
"Unauthenticated user navigating to /Products should be redirected to login","467","Unauthenticated_Access_To_Products_Redirects_To_Login","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Unauthenticated_Access_To_Products_Redirects_To_Login"
"Footer should show 4 social media links","1011","Storefront_Footer_Has_Four_Social_Links","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Footer_Has_Four_Social_Links"
"POST /api/products with missing required fields should return 400 Bad Request","46","CreateProduct_With_Missing_Name_Returns_BadRequest","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","CreateProduct_With_Missing_Name_Returns_BadRequest"
"Clicking the cart icon should navigate to the Shopping Bag page","1668","Cart_Icon_Click_Navigates_To_Cart","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Cart_Icon_Click_Navigates_To_Cart"
"Invalid username should show an error and keep user on login page","1797","Admin_Login_Fails_With_Invalid_Username","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Login_Fails_With_Invalid_Username"
"Toggle password button should switch input type from password to text","934","Password_Toggle_Shows_And_Hides_Password","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Password_Toggle_Shows_And_Hides_Password"
"PUT /api/products/{id} should update the product and return 204 No Content","66","UpdateProduct_Returns_NoContent_And_Saves_Changes","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","UpdateProduct_Returns_NoContent_And_Saves_Changes"
"Homepage should render all main sections: announcement bar, hero, features bar","1083","Storefront_Homepage_Renders_All_Key_Sections","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Homepage_Renders_All_Key_Sections"
"Admin login page should render all key UI elements","894","Admin_Login_Page_Renders_Correctly","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Login_Page_Renders_Correctly"
"Valid admin credentials should redirect to the Admin Products portal","2412","Admin_Can_Login_With_Valid_Credentials","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Can_Login_With_Valid_Credentials"
"POST /api/products should create a new product and return 201 Created with the created entity","571","CreateProduct_Returns_201_With_Created_Product","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","CreateProduct_Returns_201_With_Created_Product"
