"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /api/products/{id} for a valid product should return 200 OK with the product details","21","GetProductById_Returns_200_With_Correct_Product","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","GetProductById_Returns_200_With_Correct_Product"
"DELETE /api/products/{id} should remove the product and return 204 No Content","546","DeleteProduct_Returns_NoContent_And_Product_No_Longer_Exists","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","DeleteProduct_Returns_NoContent_And_Product_No_Longer_Exists"
"Invalid credentials should show an error message and stay on login page","1912","Admin_Login_Fails_With_Invalid_Password","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Login_Fails_With_Invalid_Password"
"Empty cart page should display an empty state with a Continue Shopping link","1619","Empty_Cart_Shows_Empty_State_Message","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","CartTests","ECommerce.Playwright.Tests.UI.Cart","CartTests","Empty_Cart_Shows_Empty_State_Message"
"Unauthenticated user navigating to /Products should be redirected to login","493","Unauthenticated_Access_To_Products_Redirects_To_Login","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Unauthenticated_Access_To_Products_Redirects_To_Login"
"Toggle password button should switch input type from password to text","1026","Password_Toggle_Shows_And_Hides_Password","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Password_Toggle_Shows_And_Hides_Password"
"Invalid username should show an error and keep user on login page","1713","Admin_Login_Fails_With_Invalid_Username","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Login_Fails_With_Invalid_Username"
"Valid admin credentials should redirect to the Admin Products portal","2531","Admin_Can_Login_With_Valid_Credentials","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Can_Login_With_Valid_Credentials"
"Clicking the cart icon should navigate to the Shopping Bag page","1824","Cart_Icon_Click_Navigates_To_Cart","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Cart_Icon_Click_Navigates_To_Cart"
"Clicking the admin lock icon should redirect to the admin login page","2511","Admin_Icon_Click_Redirects_To_Login","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Admin_Icon_Click_Redirects_To_Login"
"Homepage should display exactly 4 category cards","982","Storefront_Displays_Four_Category_Cards","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Displays_Four_Category_Cards"
"Hero section should display the correct brand title","1074","Storefront_Hero_Displays_Correct_Title","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Hero_Displays_Correct_Title"
"Admin login page should render all key UI elements","921","Admin_Login_Page_Renders_Correctly","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","AdminLoginTests","ECommerce.Playwright.Tests.UI.Auth","AdminLoginTests","Admin_Login_Page_Renders_Correctly"
"POST /api/products should create a new product and return 201 Created with the created entity","725","CreateProduct_Returns_201_With_Created_Product","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","CreateProduct_Returns_201_With_Created_Product"
"Footer should show 4 social media links","1062","Storefront_Footer_Has_Four_Social_Links","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Footer_Has_Four_Social_Links"
"POST /api/products with missing required fields should return 400 Bad Request","54","CreateProduct_With_Missing_Name_Returns_BadRequest","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","CreateProduct_With_Missing_Name_Returns_BadRequest"
"GET /api/products should return 200 OK with a JSON array","23","GetAllProducts_Returns_200_With_Json_Array","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","GetAllProducts_Returns_200_With_Json_Array"
"Homepage should render all main sections: announcement bar, hero, features bar","1057","Storefront_Homepage_Renders_All_Key_Sections","ECommerce.Playwright.Tests","2026-06-29","passed","2026-06-29","StorefrontTests","ECommerce.Playwright.Tests.UI.Storefront","StorefrontTests","Storefront_Homepage_Renders_All_Key_Sections"
"GET /api/products/{id} for a non-existent ID should return 404 Not Found","6","GetProductById_Returns_404_For_NonExistent_Id","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","GetProductById_Returns_404_For_NonExistent_Id"
"PUT /api/products/{id} should update the product and return 204 No Content","107","UpdateProduct_Returns_NoContent_And_Saves_Changes","ECommerce.Playwright.Api","2026-06-29","passed","2026-06-29","ProductApiTests","ECommerce.Playwright.Api.Tests","ProductApiTests","UpdateProduct_Returns_NoContent_And_Saves_Changes"
